author,item_name,price,product_genre
 Hardcover,"The Boy, The Mole, The Fox and The Horse By Charlie Mackesy ",1598,Children & Young Adult
 Self Teaching Moral Stories for 3 to 6 Year Old Kids,199 Moral Stories ,450,Children & Young Adult
help Books : As a Man Thinketh / Eight Pillars of Prosperity / From Poverty to Power / The Master of Destiny ),The Best of James Allen ( Four Self,878,Personal Development & Self-Help
"5, Live Anywhere and Join the New Rich ( The Four Hour Work Week )",The 4 Hour Work Week By Timothy Ferriss : Escape the 9,1100,Personal Development & Self-Help
 ( 4 Colouring Books for Children),Combo Set of Young Learner's Funtime Colouring ,280,Children & Young Adult
 The Young Artist Who Dreamed Of Perfection (Illustrated Biography),Michelangelo ,250,Biographies
changing million copy bestseller,Atomic Habits By James Clear : The life,1150,Personal Development & Self-Help
 4,My First Library of Board Book Set for Early Learning for Kids (Set Of 10 Board Books) For Age 1 ,1440,Children & Young Adult
affirming bestseller that will brighten your day,A Man Called Ove By Fredrik Backman : The life,600,Fiction & Literature
 Deluxe Edition Hardcover By Sun Tzu,The Art of War ,650,Fiction & Literature
Myth Revisited By Michael E. Gerber : Why Most Small Businesses Don't Work and What to Do About It ( The E Myth ),The E,1045,Business & Economics
 Dr Seuss (Story Book for Children ),The Foot Book ,350,Children & Young Adult
 The Genius Who Faced The Inquisition (Illustrated Biography) by Philip Steele,Galileo ,260,Biographies
 Mahesh Rangarajan,The Oxford Anthology of Indian Wildlife Vol I (Old And Rare) ,872,Non Fiction
 Mahesh Rangarajan,The Oxford Anthology of Indian Wildlife Volume II ,720,Non Fiction
 Read It Yourself with Ladybird ( Children Story Book ),Peppa Pig : The Family Computer ,240,Children & Young Adult
 Corneille Jest,Tales of The Turquoise A Pilgrimage in Dolpo ,650,Non Fiction
 Kenneth Anderson,The Call of the Man Eater ,312,Non Fiction
 R Sukumar,The Asian Elephant ,2160,Non Fiction
 Jeffrey Trollope,The Care And Breeding of Seedeating Birds ,1535,Non Fiction
 S Theodore Baskaran,The Dance of the Sarus ,448,Non Fiction
 Alonzo Lucius Lyons,Trekking The Chitwan Chepang Hills Trail ,560,Non Fiction
 Partap Sharma,Top Dog Ranjha ,80,Non Fiction
 Bhagirathi Shrestha,After the Sunset ,395,Fiction & Literature
 Jaya Prasad Bhetwal,Bipashyana Buddhako Shuddha Shiksha ,375,Non Fiction
" Martin Ewans, Thakur Dalip Singh",Bharatpur Bird Paradise ,800,Non Fiction
 J. Fayrer,The Royal Tiger of Bengal ,424,Non Fiction
 ,Twenty Questions (And Answers) About Butterflies ,140,Non Fiction
 Jhamka Timalsina,Andhakup ,475,Fiction & Literature
 Roland Watson,Been Where Done What ,500,Non Fiction
" Robert L. Fleming Sr., Robert L. Fleming, Jr.",Birds of Nepal ,1000,Non Fiction
 ,Birds of Nepal An Official Checklist ,100,Non Fiction
